judul,kategori
"Dirut PLN umumkan program listrik gratis untuk 1 juta rumah tangga miskin",Ekonomi
"Kementerian BUMN lanjutkan program divestasi saham minoritas",Ekonomi
"Presiden Jokowi tegaskan pembangunan IKN tidak akan mangkrak",Politik
"KPK tangkap Bupati Sidoarjo terkait kasus jual beli jabatan",Politik
"Presiden Jokowi kunjungi Amerika Serikat, bertemu Joe Biden bahas investasi",Politik
"Ketua Umum Partai Gerindra, Prabowo Subianto, umumkan calon wakil presiden",Politik
"Komisi I DPR desak pemerintah evaluasi diplomasi Indonesia di PBB",Politik
"Partai Demokrat resmi bergabung dengan koalisi pendukung pemerintah",Politik
"Menteri Hukum dan HAM Yasonna Laoly revisi UU Pemasyarakatan",Politik
"Polisi bongkar sindikat perdagangan orang internasional, 50 korban diselamatkan",Politik
"Debat Capres kelima fokus pada isu hukum, HAM, dan antikorupsi",Politik
"Wacana pemilu serentak 2029 kembali diusulkan KPU",Politik
"MK tolak gugatan judicial review UU IKN, proses pemindahan jalan terus",Politik
"Panglima TNI tegaskan independensi militer dari politik praktis",Politik
"Presiden Jokowi resmikan proyek pembangunan Pelabuhan Patimban",Politik
"Komisi II DPR bahas penggunaan dana desa untuk infrastruktur",Politik
"DPR sahkan UU Kesehatan, kontroversi soal RUU Omnibus Kesehatan",Politik
"Pemerintah tetapkan kenaikan dana BOS (Bantuan Operasional Sekolah) 10%",Politik
"Menteri Pendidikan Nadiem Makarim luncurkan program Merdeka Belajar jilid 20",Politik
"Kasus korupsi proyek kereta cepat Jakarta-Bandung, 3 kontraktor ditahan",Politik
"Partai NasDem resmi keluar dari koalisi pendukung Anies Baswedan",Politik
"Jokowi bertemu Megawati, sinyal dukungan PDIP di Pilpres",Politik
"Keputusan Presiden soal pengangkatan 5.000 dosen honorer menjadi PPPK",Politik
"Mahkamah Agung batalkan Perda tentang larangan merokok di tempat umum",Politik
"Menteri Dalam Negeri keluarkan aturan baru soal penggunaan dana COVID-19",Politik
"Wakil Presiden Ma'ruf Amin dorong pemerataan pembangunan di Indonesia Timur",Politik
"DKPP berhentikan anggota Bawaslu karena terlibat kampanye",Politik
"Luncurkan satelit nano buatan Indonesia untuk riset luar angkasa",Teknologi
"Apple rilis MacBook Air M3, lebih tipis dan performa lebih cepat",Teknologi
"Google luncurkan AI untuk membuat presentasi secara otomatis",Teknologi
"Startup healthtech Good Doctor raih pendanaan Seri C",Teknologi
"Kasus kebocoran data e-HAC Kemenkes: 50 juta data pengguna bocor",Teknologi
"Samsung Galaxy S26 hadir dengan chip Snapdragon 8 Gen 5",Teknologi
"Microsoft rilis Xbox Series Z, konsol game portabel",Teknologi
"Ancaman AI dalam penciptaan deepfake video jelang Pilkada",Teknologi
"Dampak AI terhadap sektor hukum: LegalTech semakin populer",Teknologi
"Mobil listrik Tesla Cybertruck mulai dijual di Indonesia",Teknologi
"Kominfo luncurkan program pelatihan data scientist untuk umum",Teknologi
"Meta Platforms kembangkan kacamata pintar yang bisa menerjemahkan bahasa",Teknologi
"Startup fintech Investree raih pendanaan $100 juta dari investor China",Teknologi
"E-sport Free Fire adakan turnamen khusus wanita, FFML Ladies",Teknologi
"Kasus penipuan online melalui media sosial TikTok meningkat",Teknologi
"Sony rilis PlayStation 6, konsol game generasi terbaru",Teknologi
"Pemerintah luncurkan program beasiswa talenta digital dalam negeri",Teknologi
"Xiaomi rilis smartphone 16 Pro dengan kamera 200MP",Teknologi
"Smartfren uji coba teknologi 6G di wilayah Jawa Barat",Teknologi
"Penelitian: AI mampu memprediksi bencana alam lebih akurat",Teknologi
"Startup e-commerce Tokopedia capai valuasi $15 miliar",Teknologi
"Bitcoin Halving pengaruhi harga listrik, miner beralih ke energi terbarukan",Teknologi
"Pengembangan kota pintar di IKN terkendala jaringan internet",Teknologi
"Microsoft akuisisi perusahaan game Mojang (Minecraft)",Teknologi
"Regulasi baru pemerintah tentang perlindungan data pribadi bank konvensional",Teknologi
"Film Ayat-Ayat Cinta 3 tembus 7 juta penonton, genre religi",Hiburan
"Konser BTS di Seoul sukses besar, fans histeris dengan penampilan solo",Hiburan
"Aktor Adipati Dolken dan Canti Tachril umumkan kehamilan pertama",Hiburan
"Film The Matrix 5 rilis trailer perdana, Keanu Reeves kembali",Hiburan
"Penyanyi Rossa rilis lagu baru, kolaborasi dengan musisi Malaysia",Hiburan
"Serial Netflix Sweet Home season 3 umumkan pemeran baru",Hiburan
"Festival musik Jazz Goes to Campus (JGTC) umumkan line up lengkap",Hiburan
"Komedian Cak Lontong dan Akbar Jayadi buka warung nasi goreng",Hiburan
"Youtuber Ria Ricis dan Teuku Ryan kembali bersama, rujuk",Hiburan
"Film Dua Garis Biru diadaptasi menjadi serial di Vidio",Hiburan
"Ajang pencarian bakat Indonesian Idol junior umumkan pemenang",Hiburan
"Perdebatan cinta segiempat di sinetron Anak Jalanan",Hiburan
"Chef Juna Rorimpandey buka restoran masakan Jepang di Jakarta",Hiburan
"Kontes kecantikan Miss Grand International 2025 digelar di Thailand",Hiburan
"Grup K-Pop Twice merilis single baru dengan konsep futuristik",Hiburan
"Pameran instalasi seni The Light in the Dark sukses digelar di Surabaya",Hiburan
"Aktor Reza Rahadian bintangi film biopik Susilo Bambang Yudhoyono (SBY)",Hiburan
"Tren podcast horor di Indonesia semakin diminati pendengar",Hiburan
"Model dan artis Dian Sastrowardoyo dorong isu pemberdayaan wanita",Hiburan
"Album Folklore Taylor Swift pecahkan rekor penjualan album fisik tercepat",Hiburan
"Kisah inspiratif aktor Fedi Nuril yang sukses di film religi",Hiburan
"Aktris D membintangi film Hollywood sebagai tokoh pahlawan",Hiburan
"Film Fast X raih box office $700 juta global",Hiburan
"Boyband EXO gelar konser reuni di Jakarta, EXO-L histeris",Hiburan
"Fashion show desainer Anne Avantie di Jakarta Fashion Week",Hiburan
"Arsenal juara Liga Inggris, akhiri puasa gelar 20 tahun",Olahraga
"Badminton: Mohammad Ahsan/Hendra Setiawan juara World Championships",Olahraga
"Manchester City juara Piala Dunia Antarklub",Olahraga
"Timnas Indonesia U-20 lolos ke Piala Dunia U-20 2025",Olahraga
"Valentino Rossi pensiun dari MotoGP, jadi legenda balap motor",Olahraga
"Formula 1: Red Bull Racing kuasai klasemen konstruktor",Olahraga
"NBA: Milwaukee Bucks juarai NBA setelah mengalahkan Phoenix Suns",Olahraga
"PSSI umumkan Shin Tae-yong akan fokus ke Timnas Senior",Olahraga
"Transfer pemain: Harry Kane pindah ke Bayern Munchen",Olahraga
"Indonesia Open 2024: Chico Aura Dwi Wardoyo juara tunggal putra",Olahraga
"Skandal pengaturan skor bulutangkis Indonesia terungkap",Olahraga
"Atletik: Lalu Muhammad Zohri raih medali perak Asian Games",Olahraga
"Timnas Putri Indonesia hadapi Australia di kualifikasi Olimpiade",Olahraga
"BWF World Tour Finals: Anthony Ginting kalah di babak final",Olahraga
"Erick Thohir tunjuk Sven-Goran Eriksson sebagai penasihat teknis PSSI",Olahraga
"Kompetisi e-sport Free Fire adakan turnamen dengan hadiah $2 juta",Olahraga
"Pebasket Satria Muda Pertamina juarai IBL 2023",Olahraga
"FIFA resmi menetapkan Indonesia sebagai tuan rumah Piala Dunia U-17",Olahraga
"Juara bertahan Liga Prancis Paris Saint-Germain tumbang di kandang",Olahraga
"Tenis: Naomi Osaka juarai US Open, kalahkan Serena Williams",Olahraga
"Timnas Voli Putra Indonesia raih emas di ajang AVC Cup",Olahraga
"Petarung UFC Conor McGregor comeback setelah cedera panjang",Olahraga
"Indonesia targetkan 5 medali emas di Olimpiade Paris 2024",Olahraga
"Perenang Felix Viktor Iberle pecahkan rekor renang 50 meter gaya dada",Olahraga
"Tim panahan Indonesia raih 2 medali emas di Kejuaraan Dunia",Olahraga
"Harga minyak mentah Brent naik 5% setelah konflik Israel-Hamas",Ekonomi
"BI kaji aturan baru untuk transaksi uang elektronik",Ekonomi
"Pemerintah siapkan insentif pajak untuk perusahaan startup",Ekonomi
"OJK perketat aturan modal minimal perusahaan asuransi",Ekonomi
"Produsen rokok Gudang Garam umumkan laba turun 15%",Ekonomi
"Bank Sentral Inggris (BoE) naikkan suku bunga 75 basis poin",Ekonomi
"Kementerian Perdagangan batasi impor barang mewah",Ekonomi
"Inflasi di Jakarta stabil, diklaim karena harga sewa rumah stabil",Ekonomi
"Harga properti di Bali melonjak 20%, didorong pariwisata pulih",Ekonomi
"Pemerintah targetkan surplus APBN 2024 sebesar 0.5% dari PDB",Ekonomi
"Startup e-commerce Bukalapak akuisisi perusahaan logistik",Ekonomi
"Dirjen Pajak luncurkan program e-Faktur 3.0",Ekonomi
"Saham PT Indofood CBP Sukses Makmur naik 5% pasca akuisisi",Ekonomi
"Bank BCA terbitkan obligasi berkelanjutan senilai Rp10 triliun",Ekonomi
"Kementerian Koperasi dorong UMKM masuk pasar ekspor",Ekonomi
"Pemerintah umumkan Bantuan Langsung Tunai (BLT) untuk pedagang pasar",Ekonomi
"Kemenhub batalkan rencana kenaikan tarif KRL Commuter Line",Ekonomi
"Bank Indonesia resmi kerjasama dengan Bank Sentral Korea Selatan",Ekonomi
"Harga nikel global stabil, didorong permintaan industri baja",Ekonomi
"IMF puji penanganan pandemi COVID-19 oleh Indonesia",Ekonomi
"Rencana IPO perusahaan perkebunan karet ditunda",Ekonomi
"Kenaikan suku bunga Bank Sentral Jepang picu penguatan Yen",Ekonomi
"Pemerintah alokasikan Rp20 triliun untuk pengembangan sektor energi terbarukan",Ekonomi
"Dirut PLN umumkan program listrik pintar prabayar",Ekonomi
"Kementerian BUMN lanjutkan program restrukturisasi utang",Ekonomi
"Presiden Jokowi tegaskan tidak ada politisasi bansos jelang pemilu",Politik
"KPK tangkap Kepala Daerah Lampung terkait kasus korupsi infrastruktur",Politik
"Presiden Jokowi kunjungi China, bertemu Xi Jinping bahas kerjasama investasi",Politik
"Ketua Umum PDIP Megawati Soekarnoputri umumkan calon wakil presiden",Politik
"Komisi I DPR kritisi kebijakan militer Amerika Serikat di Asia Tenggara",Politik
"Partai Gerindra resmi berkoalisi dengan PKB di Pemilu 2024",Politik
"Menteri Pendidikan Nadiem Makarim rombak sistem zonasi penerimaan siswa baru",Politik
"Polisi bongkar sindikat narkoba jenis baru, melibatkan artis terkenal",Politik
"Debat Capres keenam fokus pada isu sosial, budaya, dan agama",Politik
"Wacana judicial review UU ITE di Mahkamah Konstitusi",Politik
"MK kabulkan gugatan batas usia calon kepala daerah",Politik
"Panglima TNI tegaskan siap menghadapi potensi konflik di perbatasan",Politik
"Presiden Jokowi resmikan proyek pembangunan Bandara Internasional baru",Politik
"Komisi II DPR bahas penggunaan dana haji untuk infrastruktur",Politik
"DPR sahkan UU Nomor 3 Tahun 2022 tentang Ibu Kota Negara",Politik
"Pemerintah tetapkan kenaikan iuran BPJS Kesehatan kelas III",Politik
"Menteri Pariwisata Sandiaga Uno dorong pariwisata berbasis budaya",Politik
"Kasus korupsi proyek pembangunan jalan tol, 5 kontraktor ditahan",Politik
"Partai Keadilan Sejahtera (PKS) resmi mendukung Anies Baswedan",Politik
"Jokowi bertemu Susilo Bambang Yudhoyono (SBY), sinyal politik",Politik
"Keputusan Presiden soal pengangkatan 2.000 guru honorer menjadi PNS",Politik
"Mahkamah Agung batalkan Perda tentang larangan penjualan minuman keras",Politik
"Menteri Dalam Negeri keluarkan aturan baru soal penggunaan dana desa",Politik
"Wakil Presiden Ma'ruf Amin dorong industri halal di Indonesia",Politik
"DKPP berhentikan anggota KPU karena melanggar kode etik",Politik
"Luncurkan satelit nano buatan Indonesia untuk riset luar angkasa",Teknologi
"Apple rilis MacBook Air M3, lebih tipis dan performa lebih cepat",Teknologi
"Google luncurkan AI untuk membuat presentasi secara otomatis",Teknologi
"Startup healthtech Good Doctor raih pendanaan Seri C",Teknologi
"Kasus kebocoran data e-HAC Kemenkes: 50 juta data pengguna bocor",Teknologi
"Samsung Galaxy S26 hadir dengan chip Snapdragon 8 Gen 5",Teknologi
"Microsoft rilis Xbox Series Z, konsol game portabel",Teknologi
"Ancaman AI dalam penciptaan deepfake suara jelang Pilkada",Teknologi
"Dampak AI terhadap sektor hukum: LegalTech semakin populer",Teknologi
"Mobil listrik Tesla Cybertruck mulai dijual di Indonesia",Teknologi
"Kominfo luncurkan program pelatihan data scientist untuk umum",Teknologi
"Meta Platforms kembangkan kacamata pintar yang bisa menerjemahkan bahasa",Teknologi
"Startup fintech Investree raih pendanaan $100 juta dari investor China",Teknologi
"E-sport Free Fire adakan turnamen khusus wanita, FFML Ladies",Teknologi
"Kasus penipuan online melalui media sosial TikTok meningkat",Teknologi
"Sony rilis PlayStation 6, konsol game generasi terbaru",Teknologi
"Pemerintah luncurkan program beasiswa talenta digital dalam negeri",Teknologi
"Xiaomi rilis smartphone 16 Pro dengan kamera 200MP",Teknologi
"Smartfren uji coba teknologi 6G di wilayah Jawa Barat",Teknologi
"Penelitian: AI mampu memprediksi bencana alam lebih akurat",Teknologi
"Startup e-commerce Tokopedia capai valuasi $15 miliar",Teknologi
"Bitcoin Halving pengaruhi harga listrik, miner beralih ke energi terbarukan",Teknologi
"Pengembangan kota pintar di IKN terkendala jaringan internet",Teknologi
"Microsoft akuisisi perusahaan game Mojang (Minecraft)",Teknologi
"Regulasi baru pemerintah tentang perlindungan data pribadi bank konvensional",Teknologi
"Film Ayat-Ayat Cinta 3 tembus 7 juta penonton, genre religi",Hiburan
"Konser BTS di Seoul sukses besar, fans histeris dengan penampilan solo",Hiburan
"Aktor Adipati Dolken dan Canti Tachril umumkan kehamilan pertama",Hiburan
"Film The Matrix 5 rilis trailer perdana, Keanu Reeves kembali",Hiburan
"Penyanyi Rossa rilis lagu baru, kolaborasi dengan musisi Malaysia",Hiburan
"Serial Netflix Sweet Home season 3 umumkan pemeran baru",Hiburan
"Festival musik Jazz Goes to Campus (JGTC) umumkan line up lengkap",Hiburan
"Komedian Cak Lontong dan Akbar Jayadi buka warung nasi goreng",Hiburan
"Youtuber Ria Ricis dan Teuku Ryan kembali bersama, rujuk",Hiburan
"Film Dua Garis Biru diadaptasi menjadi serial di Vidio",Hiburan
"Ajang pencarian bakat Indonesian Idol junior umumkan pemenang",Hiburan
"Perdebatan cinta segiempat di sinetron Anak Jalanan",Hiburan
"Chef Juna Rorimpandey buka restoran masakan Jepang di Jakarta",Hiburan
"Kontes kecantikan Miss Grand International 2025 digelar di Thailand",Hiburan
"Grup K-Pop Twice merilis single baru dengan konsep futuristik",Hiburan
"Pameran instalasi seni The Light in the Dark sukses digelar di Surabaya",Hiburan
"Aktor Reza Rahadian bintangi film biopik Susilo Bambang Yudhoyono (SBY)",Hiburan
"Tren podcast horor di Indonesia semakin diminati pendengar",Hiburan
"Model dan artis Dian Sastrowardoyo dorong isu pemberdayaan wanita",Hiburan
"Album Folklore Taylor Swift pecahkan rekor penjualan album fisik tercepat",Hiburan
"Kisah inspiratif aktor Fedi Nuril yang sukses di film religi",Hiburan
"Aktris D membintangi film Hollywood sebagai tokoh pahlawan",Hiburan
"Film Fast X raih box office $700 juta global",Hiburan
"Boyband EXO gelar konser reuni di Jakarta, EXO-L histeris",Hiburan
"Fashion show desainer Anne Avantie di Jakarta Fashion Week",Hiburan
"Arsenal juara Liga Inggris, akhiri puasa gelar 20 tahun",Olahraga
"Badminton: Mohammad Ahsan/Hendra Setiawan juara World Championships",Olahraga
"Manchester City juara Piala Dunia Antarklub",Olahraga
"Timnas Indonesia U-20 lolos ke Piala Dunia U-20 2025",Olahraga
"Valentino Rossi pensiun dari MotoGP, jadi legenda balap motor",Olahraga
"Formula 1: Red Bull Racing kuasai klasemen konstruktor",Olahraga
"NBA: Milwaukee Bucks juarai NBA setelah mengalahkan Phoenix Suns",Olahraga
"PSSI umumkan Shin Tae-yong akan fokus ke Timnas Senior",Olahraga
"Transfer pemain: Harry Kane pindah ke Bayern Munchen",Olahraga
"Indonesia Open 2024: Chico Aura Dwi Wardoyo juara tunggal putra",Olahraga
"Skandal pengaturan skor bulutangkis Indonesia terungkap",Olahraga
"Atletik: Lalu Muhammad Zohri raih medali perak Asian Games",Olahraga
"Timnas Putri Indonesia hadapi Australia di kualifikasi Olimpiade",Olahraga
"BWF World Tour Finals: Anthony Ginting kalah di babak final",Olahraga
"Erick Thohir tunjuk Sven-Goran Eriksson sebagai penasihat teknis PSSI",Olahraga
"Kompetisi e-sport Free Fire adakan turnamen dengan hadiah $2 juta",Olahraga
"Pebasket Satria Muda Pertamina juarai IBL 2023",Olahraga
"FIFA resmi menetapkan Indonesia sebagai tuan rumah Piala Dunia U-17",Olahraga
"Juara bertahan Liga Prancis Paris Saint-Germain tumbang di kandang",Olahraga
"Tenis: Naomi Osaka juarai US Open, kalahkan Serena Williams",Olahraga
"Timnas Voli Putra Indonesia raih emas di ajang AVC Cup",Olahraga
"Petarung UFC Conor McGregor comeback setelah cedera panjang",Olahraga
"Indonesia targetkan 5 medali emas di Olimpiade Paris 2024",Olahraga
"Perenang Felix Viktor Iberle pecahkan rekor renang 50 meter gaya dada",Olahraga
"Tim panahan Indonesia raih 2 medali emas di Kejuaraan Dunia",Olahraga
"Harga minyak mentah Brent naik 5% setelah konflik Israel-Hamas",Ekonomi
"BI kaji aturan baru untuk transaksi uang elektronik",Ekonomi
"Pemerintah siapkan insentif pajak untuk perusahaan startup",Ekonomi
"OJK perketat aturan modal minimal perusahaan asuransi",Ekonomi
"Produsen rokok Gudang Garam umumkan laba turun 15%",Ekonomi
"Bank Sentral Inggris (BoE) naikkan suku bunga 75 basis poin",Ekonomi
"Kementerian Perdagangan batasi impor barang mewah",Ekonomi
"Inflasi di Jakarta stabil, diklaim karena harga sewa rumah stabil",Ekonomi
"Harga properti di Bali melonjak 20%, didorong pariwisata pulih",Ekonomi
"Pemerintah targetkan surplus APBN 2024 sebesar 0.5% dari PDB",Ekonomi
"Startup e-commerce Bukalapak akuisisi perusahaan logistik",Ekonomi
"Dirjen Pajak luncurkan program e-Faktur 3.0",Ekonomi
"Saham PT Indofood CBP Sukses Makmur naik 5% pasca akuisisi",Ekonomi
"Bank BCA terbitkan obligasi berkelanjutan senilai Rp10 triliun",Ekonomi
"Kementerian Koperasi dorong UMKM masuk pasar ekspor",Ekonomi
"Pemerintah umumkan Bantuan Langsung Tunai (BLT) untuk pedagang pasar",Ekonomi
"Kemenhub batalkan rencana kenaikan tarif KRL Commuter Line",Ekonomi
"Bank Indonesia resmi kerjasama dengan Bank Sentral Korea Selatan",Ekonomi
"Harga nikel global stabil, didorong permintaan industri baja",Ekonomi
"IMF puji penanganan pandemi COVID-19 oleh Indonesia",Ekonomi
"Rencana IPO perusahaan perkebunan karet ditunda",Ekonomi
"Kenaikan suku bunga Bank Sentral Jepang picu penguatan Yen",Ekonomi
"Pemerintah alokasikan Rp20 triliun untuk pengembangan sektor energi terbarukan",Ekonomi
"Dirut PLN umumkan program listrik pintar prabayar",Ekonomi
"Kementerian BUMN lanjutkan program restrukturisasi utang",Ekonomi
"Presiden Jokowi tegaskan tidak ada politisasi bansos jelang pemilu",Politik
"KPK tangkap Kepala Daerah Lampung terkait kasus korupsi infrastruktur",Politik
"Presiden Jokowi kunjungi China, bertemu Xi Jinping bahas kerjasama investasi",Politik
"Ketua Umum PDIP Megawati Soekarnoputri umumkan calon wakil presiden",Politik
"Komisi I DPR kritisi kebijakan militer Amerika Serikat di Asia Tenggara",Politik
"Partai Gerindra resmi berkoalisi dengan PKB di Pemilu 2024",Politik
"Menteri Pendidikan Nadiem Makarim rombak sistem zonasi penerimaan siswa baru",Politik
"Polisi bongkar sindikat narkoba jenis baru, melibatkan artis terkenal",Politik
"Debat Capres keenam fokus pada isu sosial, budaya, dan agama",Politik
"Wacana judicial review UU ITE di Mahkamah Konstitusi",Politik
"MK kabulkan gugatan batas usia calon kepala daerah",Politik
"Panglima TNI tegaskan siap menghadapi potensi konflik di perbatasan",Politik
"Presiden Jokowi resmikan proyek pembangunan Bandara Internasional baru",Politik
"Komisi II DPR bahas penggunaan dana haji untuk infrastruktur",Politik
"DPR sahkan UU Nomor 3 Tahun 2022 tentang Ibu Kota Negara",Politik
"Pemerintah tetapkan kenaikan iuran BPJS Kesehatan kelas III",Politik
"Menteri Pariwisata Sandiaga Uno dorong pariwisata berbasis budaya",Politik
"Kasus korupsi proyek pembangunan jalan tol, 5 kontraktor ditahan",Politik
"Partai Keadilan Sejahtera (PKS) resmi mendukung Anies Baswedan",Politik
"Jokowi bertemu Susilo Bambang Yudhoyono (SBY), sinyal politik",Politik
"Keputusan Presiden soal pengangkatan 2.000 guru honorer menjadi PNS",Politik
"Mahkamah Agung batalkan Perda tentang larangan penjualan minuman keras",Politik
"Menteri Dalam Negeri keluarkan aturan baru soal penggunaan dana desa",Politik
"Wakil Presiden Ma'ruf Amin dorong industri halal di Indonesia",Politik
"DKPP berhentikan anggota KPU karena melanggar kode etik",Politik
"Luncurkan satelit nano buatan Indonesia untuk riset luar angkasa",Teknologi
"Apple rilis MacBook Air M3, lebih tipis dan performa lebih cepat",Teknologi
"Google luncurkan AI untuk membuat presentasi secara otomatis",Teknologi
"Startup healthtech Good Doctor raih pendanaan Seri C",Teknologi
"Kasus kebocoran data e-HAC Kemenkes: 50 juta data pengguna bocor",Teknologi
"Samsung Galaxy S26 hadir dengan chip Snapdragon 8 Gen 5",Teknologi
"Microsoft rilis Xbox Series Z, konsol game portabel",Teknologi
"Ancaman AI dalam penciptaan deepfake suara jelang Pilkada",Teknologi
"Dampak AI terhadap sektor hukum: LegalTech semakin populer",Teknologi
"Mobil listrik Tesla Cybertruck mulai dijual di Indonesia",Teknologi
"Kominfo luncurkan program pelatihan data scientist untuk umum",Teknologi
"Meta Platforms kembangkan kacamata pintar yang bisa menerjemahkan bahasa",Teknologi
"Startup fintech Investree raih pendanaan $100 juta dari investor China",Teknologi
"E-sport Free Fire adakan turnamen khusus wanita, FFML Ladies",Teknologi
"Kasus penipuan online melalui media sosial TikTok meningkat",Teknologi
"Sony rilis PlayStation 6, konsol game generasi terbaru",Teknologi
"Pemerintah luncurkan program beasiswa talenta digital dalam negeri",Teknologi
"Xiaomi rilis smartphone 16 Pro dengan kamera 200MP",Teknologi
"Smartfren uji coba teknologi 6G di wilayah Jawa Barat",Teknologi
"Penelitian: AI mampu memprediksi bencana alam lebih akurat",Teknologi
"Startup e-commerce Tokopedia capai valuasi $15 miliar",Teknologi
"Bitcoin Halving pengaruhi harga listrik, miner beralih ke energi terbarukan",Teknologi
"Pengembangan kota pintar di IKN terkendala jaringan internet",Teknologi
"Microsoft akuisisi perusahaan game Mojang (Minecraft)",Teknologi
"Regulasi baru pemerintah tentang perlindungan data pribadi bank konvensional",Teknologi
"Film Ayat-Ayat Cinta 3 tembus 7 juta penonton, genre religi",Hiburan
"Konser BTS di Seoul sukses besar, fans histeris dengan penampilan solo",Hiburan
"Aktor Adipati Dolken dan Canti Tachril umumkan kehamilan pertama",Hiburan
"Film The Matrix 5 rilis trailer perdana, Keanu Reeves kembali",Hiburan
"Penyanyi Rossa rilis lagu baru, kolaborasi dengan musisi Malaysia",Hiburan
"Serial Netflix Sweet Home season 3 umumkan pemeran baru",Hiburan
"Festival musik Jazz Goes to Campus (JGTC) umumkan line up lengkap",Hiburan
"Komedian Cak Lontong dan Akbar Jayadi buka warung nasi goreng",Hiburan
"Youtuber Ria Ricis dan Teuku Ryan kembali bersama, rujuk",Hiburan
"Film Dua Garis Biru diadaptasi menjadi serial di Vidio",Hiburan
"Ajang pencarian bakat Indonesian Idol junior umumkan pemenang",Hiburan
"Perdebatan cinta segiempat di sinetron Anak Jalanan",Hiburan
"Chef Juna Rorimpandey buka restoran masakan Jepang di Jakarta",Hiburan
"Kontes kecantikan Miss Grand International 2025 digelar di Thailand",Hiburan
"Grup K-Pop Twice merilis single baru dengan konsep futuristik",Hiburan
"Pameran instalasi seni The Light in the Dark sukses digelar di Surabaya",Hiburan
"Aktor Reza Rahadian bintangi film biopik Susilo Bambang Yudhoyono (SBY)",Hiburan
"Tren podcast horor di Indonesia semakin diminati pendengar",Hiburan
"Model dan artis Dian Sastrowardoyo dorong isu pemberdayaan wanita",Hiburan
"Album Folklore Taylor Swift pecahkan rekor penjualan album fisik tercepat",Hiburan
"Kisah inspiratif aktor Fedi Nuril yang sukses di film religi",Hiburan
"Aktris D membintangi film Hollywood sebagai tokoh pahlawan",Hiburan
"Film Fast X raih box office $700 juta global",Hiburan
"Boyband EXO gelar konser reuni di Jakarta, EXO-L histeris",Hiburan
"Fashion show desainer Anne Avantie di Jakarta Fashion Week",Hiburan
"Arsenal juara Liga Inggris, akhiri puasa gelar 20 tahun",Olahraga
"Badminton: Mohammad Ahsan/Hendra Setiawan juara World Championships",Olahraga
"Manchester City juara Piala Dunia Antarklub",Olahraga
"Timnas Indonesia U-20 lolos ke Piala Dunia U-20 2025",Olahraga
"Valentino Rossi pensiun dari MotoGP, jadi legenda balap motor",Olahraga
"Formula 1: Red Bull Racing kuasai klasemen konstruktor",Olahraga
"NBA: Milwaukee Bucks juarai NBA setelah mengalahkan Phoenix Suns",Olahraga
"PSSI umumkan Shin Tae-yong akan fokus ke Timnas Senior",Olahraga
"Transfer pemain: Harry Kane pindah ke Bayern Munchen",Olahraga
"Indonesia Open 2024: Chico Aura Dwi Wardoyo juara tunggal putra",Olahraga
"Skandal pengaturan skor bulutangkis Indonesia terungkap",Olahraga
"Atletik: Lalu Muhammad Zohri raih medali perak Asian Games",Olahraga

